event,catalog,waveform,erad_strategy,M_total_Msun,M_chirp_Msun,mass_ratio,E_rad_Msun,chi_eff,redshift,lum_dist_Mpc,n_seraphim,n_sph_std,n_sph_samples,n_carrier,n_BBH_theory,log2_M,gap,alpha_inv,delta_alpha
GW150914_095045,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,64.264,27.7459,0.8463,2.9555,-0.0557,0.0963,455.6162,5.340209,0.046137,147634,137.637871,5.313987,6.005939,132.297662,137.035999,-4.738337
GW150914_095045,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,64.2184,27.7249,0.8454,2.9545,-0.0547,0.0978,463.0273,5.340473,0.045957,199766,137.636848,5.313987,6.004916,132.296375,137.035999,-4.739624
GW151012_095443,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,38.844,15.6122,0.538,1.5958,0.111,0.1937,974.095,5.283749,0.208789,68167,136.911553,5.313987,5.279621,131.627804,137.035999,-5.408195
GW151012_095443,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,38.422,15.5127,0.5513,1.605,0.1178,0.2083,1056.2635,5.295259,0.203841,137933,136.895793,5.313987,5.263861,131.600533,137.035999,-5.435466
GW151226_033853,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,21.6734,8.855,0.5276,0.985,0.2015,0.0973,460.4727,5.334007,0.189791,133885,136.069785,5.313987,4.437853,130.735778,137.035999,-6.300221
GW151226_033853,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,21.6612,8.838,0.5235,0.9817,0.2031,0.0994,471.2247,5.331756,0.18991,188541,136.068974,5.313987,4.437042,130.737218,137.035999,-6.298781
GW170104_101158,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,49.9996,21.1554,0.7085,2.1883,-0.0421,0.2113,1073.2327,5.309569,0.087598,80854,137.275776,5.313987,5.643844,131.966206,137.035999,-5.069793
GW170104_101158,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,49.6974,21.0331,0.7076,2.179,-0.0391,0.2205,1126.1863,5.310683,0.085239,169007,137.267031,5.313987,5.635099,131.956348,137.035999,-5.079651
GW170608_020116,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,18.6246,7.9352,0.7136,0.8639,0.0434,0.0707,328.8612,5.351159,0.088127,219080,135.851072,5.313987,4.219141,130.499914,137.035999,-6.536086
GW170608_020116,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,18.6091,7.9275,0.7122,0.8628,0.0436,0.0718,334.0213,5.350863,0.088712,285112,135.849865,5.313987,4.217933,130.499002,137.035999,-6.536997
GW170729_185629,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,83.5641,34.1478,0.5514,4.1373,0.2572,0.4267,2412.502,5.393495,0.19962,37428,138.016743,5.313987,6.384811,132.623248,137.035999,-4.412751
GW170729_185629,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,82.475,34.0286,0.5845,4.3398,0.3064,0.4943,2874.1125,5.440181,0.178804,173308,137.997817,5.313987,6.365885,132.557637,137.035999,-4.478362
GW170809_082821,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,58.4839,24.7294,0.7064,2.7438,0.0795,0.2147,1092.4979,5.361404,0.087983,89622,137.501899,5.313987,5.869967,132.140495,137.035999,-4.895504
GW170809_082821,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,58.3371,24.6816,0.7072,2.745,0.0833,0.2189,1116.9455,5.36345,0.086552,177783,137.498273,5.313987,5.866341,132.134823,137.035999,-4.901176
GW170814_103043,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,55.6541,23.9165,0.8063,2.6913,0.0606,0.1223,588.4313,5.378698,0.046399,139163,137.430347,5.313987,5.798415,132.051649,137.035999,-4.98435
GW170814_103043,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,55.5515,23.8753,0.808,2.6888,0.0613,0.1245,599.8825,5.379305,0.046136,197034,137.427685,5.313987,5.795753,132.04838,137.035999,-4.987619
GW170818_022509,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,62.4971,26.8023,0.7968,2.8442,-0.0423,0.222,1134.4514,5.334126,0.066714,84033,137.59765,5.313987,5.965718,132.263524,137.035999,-4.772475
GW170818_022509,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,62.2874,26.716,0.7984,2.8484,-0.0347,0.2296,1178.4139,5.33759,0.066023,160046,137.5928,5.313987,5.960868,132.25521,137.035999,-4.78079
GW170823_131358,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,66.9488,28.4833,0.7643,3.1661,0.0531,0.3575,1958.8475,5.36397,0.1035,42612,137.696918,5.313987,6.064986,132.332948,137.035999,-4.703051
GW170823_131358,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,66.2608,28.2222,0.7667,3.162,0.0651,0.3817,2115.4534,5.36973,0.09842,136399,137.682016,5.313987,6.050084,132.312286,137.035999,-4.723713
GW190403_051519,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,107.1354,32.65,0.2025,4.0894,0.6786,1.1374,7954.6993,5.21412,0.343804,11138,138.375223,5.313987,6.743291,133.161103,137.035999,-3.874896
GW190403_051519,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,98.5777,33.1463,0.2763,4.8087,0.6959,1.4295,10547.7819,5.40014,0.292684,178895,138.255122,5.313987,6.62319,132.854981,137.035999,-4.181018
GW190408_181802,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,43.496,18.4673,0.7383,1.937,-0.0301,0.2858,1511.6722,5.321596,0.074859,53971,137.074744,5.313987,5.442812,131.753148,137.035999,-5.282851
GW190408_181802,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,43.1812,18.329,0.735,1.923,-0.0291,0.2961,1574.6829,5.321423,0.072635,127008,137.064262,5.313987,5.43233,131.742839,137.035999,-5.29316
GW190412_053044,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,38.4591,13.3447,0.2821,1.1386,0.247,0.1416,690.1104,5.022211,0.078574,182052,136.897184,5.313987,5.265252,131.874973,137.035999,-5.161026
GW190412_053044,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,38.4473,13.3257,0.2812,1.1359,0.2479,0.1434,699.5342,5.020724,0.078802,264789,136.896743,5.313987,5.264811,131.876019,137.035999,-5.159981
GW190413_052954,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,58.027,24.543,0.7296,2.5527,-0.0353,0.5579,3324.3621,5.313018,0.115031,27757,137.490584,5.313987,5.858652,132.177566,137.035999,-4.858433
GW190413_052954,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,56.9955,24.1528,0.7373,2.5645,-0.0035,0.6146,3737.0392,5.329395,0.111198,144722,137.464708,5.313987,5.832777,132.135313,137.035999,-4.900686
GW190413_134308,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,81.2511,33.2992,0.5987,3.3686,-0.0085,0.6226,3796.2844,5.273783,0.203854,23815,137.976248,5.313987,6.344316,132.702466,137.035999,-4.333534
GW190413_134308,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,78.6772,32.7028,0.6543,3.4403,0.0211,0.7298,4607.0903,5.311039,0.169699,155335,137.929805,5.313987,6.297874,132.618767,137.035999,-4.417232
GW190421_213856,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,73.6101,31.3922,0.7827,3.2157,-0.0959,0.4527,2587.9613,5.305285,0.102963,30882,137.833764,5.313987,6.201832,132.528479,137.035999,-4.507521
GW190421_213856,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,71.669,30.5758,0.7823,3.1556,-0.0839,0.5064,2958.4536,5.310359,0.09766,147856,137.79521,5.313987,6.163278,132.484851,137.035999,-4.551148
GW190426_190642,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,182.3339,75.9944,0.7616,9.2968,0.2261,0.7259,4577.1825,5.418206,0.183825,16736,139.142371,5.313987,7.510439,133.724165,137.035999,-3.311834
GW190426_190642,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,172.1122,71.6648,0.7383,9.17,0.2975,0.8698,5714.2056,5.449271,0.166979,155608,139.059138,5.313987,7.427206,133.609867,137.035999,-3.426132
GW190503_185404,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,69.4292,29.2014,0.6704,2.9633,-0.0575,0.2841,1501.7608,5.289253,0.140284,63867,137.749402,5.313987,6.11747,132.460149,137.035999,-4.57585
GW190503_185404,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,69.1812,29.1408,0.6812,2.9877,-0.0425,0.2996,1596.2606,5.298355,0.13215,166116,137.744241,5.313987,6.112309,132.445886,137.035999,-4.590113
GW190512_180714,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,36.0873,14.5313,0.5125,1.4288,0.0279,0.2783,1466.1971,5.235675,0.108878,74777,136.805352,5.313987,5.17342,131.569677,137.035999,-5.466322
GW190512_180714,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,35.7398,14.4113,0.5143,1.4201,0.0294,0.2895,1534.3961,5.237961,0.109162,181271,136.791391,5.313987,5.159459,131.553429,137.035999,-5.48257
GW190513_205428,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,54.2525,21.4743,0.4755,2.2115,0.1346,0.3888,2162.0181,5.265078,0.163938,48052,137.393551,5.313987,5.761619,132.128473,137.035999,-4.907526
GW190513_205428,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,53.7894,21.3994,0.4852,2.2418,0.1502,0.4073,2283.2604,5.282106,0.162296,180002,137.381182,5.313987,5.74925,132.099076,137.035999,-4.936923
